bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
4112,6897,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,25,,,,,,,,,,,,,23,26,231,71,,,,,,,,,1868,62,5,23,217,38,,,15,4,35,11,,,,,249,48,,,,,,,,,,,,,,,,,,,31,30,,,,,,,,,,,,,,,,,19,14,,,,,,,,,448,25,89,48,,,,,,,,,,,27,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,28,,,22,31,,,,,,,,,,,,,2385,1,,,,,225,18,,,,,684,21,,,,,,,,,,,,,,,,,11,18,,,,,,,,,,,,,23,48,,,,,,,,,34,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,31
2952,6888,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,12,,,,,,,,,,,,,87,11,679,35,,,,,,,,,3505,33,5,22,571,22,,,15,3,,,121,10,,,622,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,15,,,,,,,,,554,18,31,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,27,,,52,15,,,,,,,,,,,,,,,,,,,85,30,,,,,157,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2392,6873,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,23,,,,,,,58,15,,,,,,,673,36,,,,,,,,,3703,31,,,266,34,,,11,7,105,7,,,,,751,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,25,,,,,,,,,,,,,,,302,31,233,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,19,,,30,24,,,,,,,,,,,,,203,25,,,,,104,27,,,,,,,,,,,,,,,,,,,,,,,7,24,,,,,,,17,8,,,,,68,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,58
2921,6676,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,47,,,,,,,,,,,,,,,500,44,,,,,,,,,4333,27,,,,,,,,,,,,,,,304,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1078,13,,,,,,,,,,,42,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,23,,,,,,,,,,,,,,,,,,,,,,,193,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39856,6509,34,,,,,,,,,,,,,,,,,,,,,,,,,,,152,6,,,,,,,,,,,,,,,23,13,,,,,,,50,18,,,,,14,36,564,38,,,,,,,,,2748,41,,,,,,,,,,,,,,,740,21,,,,,,,,,,,,,,,,,,,62,22,,,,,,,,,,,105,14,,,,,,,,,,,,,,,663,12,,,,,,,,,,,,,35,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,41,,,,,,,,,,,,,408,13,,,,,,,,,,,727,20,,,,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,23
5894,6254,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,50,,,,,,,,,,,,,,,371,51,,,,,,,,,2687,42,,,433,26,,,,,,,31,35,,,386,36,,,,,,,,,,,,,,,,,,,55,24,,,,,,,,,,,,,,,,,,,,,,,,,,,306,30,524,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,41,,,,,,,,,,,,,,,,,,,,,,,286,13,,,,,922,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,15,,,,,37,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,6051,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,39,,,,,,,,,,,,,,,701,32,,,,,23,9,,,3560,32,,,541,24,,,,,,,,,,,277,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,942,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785,5936,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,2,,,,,,,,,,,,,25,25,233,68,,,,,,,,,521,142,1,44,2645,4,,,9,8,,,,,,,951,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611,16,82,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701,8,,,,,,,,,,,,,,,2,1,14,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,17,104
2398,5884,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,64,,,,,,,,,4855,23,5,21,,,,,,,,,15,49,,,348,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,48,,,,,,,,,,,,,,,,,73,39,,,,,,,,,,,139,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,38,,,,,,,,,,,,,,,38,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36218,5717,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,33,,,,,,,39,21,,,,,9,47,740,30,,,,,,,,,3282,34,,,30,94,,,,,,,14,55,,,150,70,,,,,,,,,,,,,,,,,,,10,43,,,,,,,,,,,,,,,,,,,,,,,,,,,102,67,989,14,,,,,,,,,,,18,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,45,,,26,26,,,,,,,,,,,,,37,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,30
2386,5599,40,,,,,,,,,,,17,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,20,,,,,,,21,25,,,,,,,74,164,,,,,,,,,2363,49,9,9,1710,6,,,,,,,35,31,,,301,45,,,,,,,,,,,,,,,,,,,64,20,,,,,,,,,,,40,24,,,,,,,,,,,,,,,228,38,,,,,,,,,,,,,39,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,53,14,,,,,,,,,,,,,40,52,,,,,86,29,,,,,14,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,22,,,,,,,,,19,10,,,,,,,,,,,6,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,377,14
1258,5399,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,29,,,,,,,797,28,,,,,,,,,4564,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,5368,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,27,369,52,,,,,,,,,4348,26,,,40,86,,,,,,,32,34,,,90,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,69,,,,,,,,,,,,,17,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,33,,,28,25,,,,,,,,,,,,,,,,,,,19,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,29
41114,5287,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5221,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4192,5283,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,18,,,,,,,55,16,,,,,29,22,1029,20,,,,,,,,,5,957,,,307,30,,,,,,,53,26,,,161,67,,,,,,,,,,,,,6,4,,,,,11,41,,,,,,,,,,,83,17,,,,,,,,,,,,,,,429,26,524,22,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,25,,,,,,,,,,,,,,,,,114,29,,,,,,,,,,,2152,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,25,,,,,,,,,,,,,,,,,,,,,27,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30549,5151,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,28,,,,,13,38,322,58,,,,,,,,,3868,30,,,,,,,,,,,,,,,211,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,62,301,27,,,,,,,,,,,20,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,47,,,15,35,,,,,,,,,,,,,,,,,,,,,,,,,140,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18011,4991,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,2,,,,,,,,,12,26,,,,,,,34,22,,,,,,,176,88,,,,,,,,,2060,57,8,13,581,21,8,15,,,,,15,50,,,143,71,,,,,,,,,,,,,,,,,,,22,37,20,5,,,,,,,,,27,28,,,,,17,16,,,,,,,,,60,84,864,15,,,,,,,,,,,35,24,,,,,,,,,3,4,,,,,,,,,,,,,,,13,3,,,,,36,7,,,,,,,,,,,,,33,69,3,17,7,40,,,,,,,,,,,,,49,45,,,,,139,21,,,,,440,31,,,,,,,,,,,,,5,7,10,3,17,16,,,,,,,,,,,,,19,53,,,,,12,4,,,,,,,,,38,25,,,,,10,25,,,,,,,,,50,8,,,,,,,,,,,,,,,,,,,,,,
483,4764,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,29,,,,,,,,,,,,,9,44,187,82,,,,,,,,,3095,35,,,,,,,,,,,19,44,,,226,54,,,,,,,,,,,,,,,,,,,19,38,,,,,,,,,,,,,,,,,,,,,,,4,5,,,116,56,554,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,55,,,16,34,,,,,,,,,,,,,20,75,,,,,43,37,,,,,273,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,46,,,,,,,,,,,,,,,42,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,45
1917,4554,48,,,,,,,,,,,10,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,34,,,,,,,16,30,,,,,107,9,297,59,,,,,,,,,2339,50,5,20,282,33,,,,,63,9,16,46,,,302,44,,,,,,,,,,,,,,,,,,,111,13,,,,,,,,,,,,,,,,,,,,,,,,,,,82,74,,,,,,,,,,,,,15,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709,7,,,23,29,,,,,,,,,,,,,,,,,,,,,,,,,86,57,,,,,,,,,,,,,,,,,12,17,,,,,,,,,,,,,32,43,,,,,,,,,,,,,,,,,,,,,4,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,60
3955,4551,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,64,,,,,,,7,49,,,,,,,121,114,,,,,,,,,2228,55,,,260,36,,,,,,,,,,,461,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,20,,,,,,,,,,,,,,,770,10,,,,,,,,,,,,,299,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,15
2407,4370,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,161,,,,,,,,,4262,28,,,33,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2281,4308,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,27,,,,,,,,,,,,,,,,,,,,,,,,,2659,44,,,1043,16,,,,,,,,,,,239,52,,,,,,,,,,,,,,,,,,,24,35,,,,,,,,,,,,,,,,,,,,,,,,,,,269,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2399,4259,52,,,,,,,,,,,30,13,,,,,,,10,4,,,,,,,9,20,,,,,,,,,9,6,,,,,39,7,,,,,,,24,24,,,,,,,153,94,,,,,,,,,1840,64,10,6,853,18,,,,,15,13,10,68,,,132,73,,,,,,,,,,,,,,,,,,,34,28,,,,,,,,,,,15,35,,,,,,,,,,,,,,,211,40,185,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,64,,,,,,,8,3,,,,,,,,,69,41,,,,,129,23,,,8,13,301,37,,,,,,,,,,,,,,,,,18,15,,,,,,,,,,,,,17,59,,,,,,,,,,,,,,,14,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,38
13713,4238,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,28,,,,,,,,,,,,,16,34,847,26,,,,,,,,,1386,77,,,186,42,,,7,11,,,40,30,,,617,25,,,,,,,,,,,,,,,,,,,31,31,,,,,,,,,,,12,41,,,,,,,,,,,3,7,,,145,52,240,29,,,,,,,,,,,,,,,,,,,,,,,,,,,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,35,,,,,227,17,,,,,21,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,57,,,,,,,,,,,,,,,163,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,22
9209,4074,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,60,,,,,,,,,,,,,22,29,372,50,,,,,,,,,2790,39,,,27,99,,,,,,,67,25,,,4,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,33,,,,,,,,,,,,,,,174,46,3,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,150,29,4,14,40,19,,,,,,,,,,,,,110,31,,,,,,,,,,,208,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,35,,,,,,,,,14,12,,,,,,,,,,,,,,,,,,,,,16,11,,,,,,,,,,,,,,,,,,,,,,
6472,3781,55,,,,,,,,,,,,,,,,,,,,,,,,,,,31,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413,47,,,,,,,,,1974,59,,,293,32,,,,,,,,,,,,,,,,,,,,,,,,,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,30,,,,,,,,,,,568,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,32
1269,3686,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927,22,,,,,,,,,2402,48,,,,,,,,,,,227,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293,3684,57,,,,,,,,,,,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,45,,,,,,,9,43,,,,,,,179,86,,,,,,,,,2607,45,,,167,46,,,,,,,24,40,,,191,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,30,,,,,,,,,,,,,,,,,52,44,,,,,41,39,,,,,165,45,,,,,,,,,,,,,,,,,,,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11733,3551,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,116,,,,,,,2,1,777,106,,,,,,,,,,,,,,,171,64,,,,,,,,,,,,,,,,,,,,,,,,,270,2,,,,,10,43,,,,,,,,,,,,,,,2058,3,28,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,60,5,,,,,39,6,,,,,5,87,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,
891,3525,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,78,,,,,,,,,2415,47,,,309,29,,,,,,,,,,,327,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57409,3459,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3253,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,112
3967,3431,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,67,,,,,,,,,2424,46,,,,,,,,,,,,,,,116,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,79,,,,,,,,,,,406,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,21
2163,3378,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,81,,,,,,,,,2273,52,,,101,58,,,,,,,14,52,,,166,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,52
9364,3339,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2918,8,,,,,,,,,350,179,,,,,,,,,,,,,,,40,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3298,64,,,,,,,,,,,208,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,60,,,,,,,,,2007,58,,,193,41,,,,,,,9,75,,,237,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,41,,,,,,,,,,,,,,,127,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68448,3185,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,79,,,,,,,,,,,,,9,48,219,72,,,,,,,,,2228,56,,,,,,,,,,,,,,,475,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,60,,,,,,,,,,,,,16,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,67,,,,,,,,,,,,,,,,,43,50,,,,,5,75,,,,,43,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
